
time,gFx,gFy,gFz,wx,wy,wz,
0.098632,0.6777,0.6423,-0.3352,-0.0086,0.0208,-0.0232,
0.198604,0.6726,0.6555,-0.3804,-0.0012,0.0006,-0.0403,
0.298834,0.6586,0.6584,-0.3782,0.0049,0.0128,-0.0104,
0.399256,0.6670,0.6467,-0.3547,0.0250,0.0092,0.0153,
0.499455,0.6699,0.6481,-0.3821,0.0531,0.0067,-0.0061,
0.599993,0.6630,0.6508,-0.3782,0.0183,0.0122,-0.0128,
0.701704,0.6692,0.6481,-0.3579,0.0220,0.0024,-0.0159,
0.801481,0.6716,0.6457,-0.3552,0.0580,0.0000,-0.0067,
0.902944,0.6721,0.6469,-0.3811,0.0379,0.0024,-0.0171,
1.007657,0.6670,0.6469,-0.3750,-0.0079,0.0269,0.0110,
1.108553,0.6753,0.6418,-0.3623,-0.0104,0.0067,0.0183,
1.206189,0.6819,0.6342,-0.3679,-0.0195,-0.0104,0.0086,
1.305970,0.6704,0.6415,-0.3814,-0.0421,-0.0104,-0.0110,
1.408442,0.6660,0.6472,-0.3682,-0.0159,-0.0031,-0.0018,
1.509212,0.6679,0.6479,-0.3699,-0.0128,-0.0073,0.0122,
1.611137,0.6740,0.6401,-0.3735,0.0086,-0.0049,0.0134,
1.710624,0.6770,0.6372,-0.3750,-0.0037,-0.0012,-0.0006,
1.810576,0.6704,0.6423,-0.3633,-0.0208,0.0134,-0.0061,
1.910852,0.6804,0.6425,-0.3762,0.0153,0.0140,0.0128,
2.011337,0.6770,0.6401,-0.3792,-0.0177,0.0006,0.0122,
2.111917,0.6799,0.6364,-0.3733,-0.0147,-0.0043,-0.0098,
2.211782,0.6665,0.6464,-0.3689,0.0110,0.0006,0.0006,
2.312561,0.6770,0.6413,-0.3765,0.0049,0.0299,0.0385,
2.413669,0.6872,0.6291,-0.3562,0.0079,0.0098,0.0134,
2.514838,0.6863,0.6362,-0.3574,0.0067,-0.0275,-0.0086,
2.615093,0.6789,0.6325,-0.3770,-0.0287,0.0024,0.0043,
2.715790,0.6828,0.6350,-0.3721,-0.0250,0.0067,-0.0031,
2.817687,0.6828,0.6374,-0.3689,-0.0055,-0.0043,-0.0092,
2.917985,0.6826,0.6323,-0.3721,0.0067,-0.0153,-0.0128,
3.019030,0.6758,0.6384,-0.3735,0.0012,0.0037,-0.0067,
3.118262,0.6819,0.6350,-0.3523,0.1863,0.1839,-0.0116,
3.218387,0.6941,0.6318,-0.2902,-0.0067,0.0202,0.0305,
