
time,gFx,gFy,gFz,wx,wy,wz,
0.097887,-0.1231,0.8470,0.5358,0.1008,0.0495,-0.0189,
0.197834,-0.1466,0.8558,0.4581,0.1417,0.1643,-0.0696,
0.297951,-0.1664,0.8800,0.4407,0.0819,0.1032,0.0086,
0.399554,-0.1874,0.8656,0.4573,-0.0183,0.1448,-0.0018,
0.500014,-0.1532,0.8602,0.4893,-0.0428,0.1051,0.0299,
0.600169,-0.1744,0.8712,0.4722,0.0623,0.0800,-0.0092,
0.700744,-0.1771,0.8727,0.4547,0.0092,0.0024,-0.0287,
0.801204,-0.1725,0.8680,0.4720,0.0281,-0.0397,-0.0226,
0.901362,-0.1793,0.8749,0.4551,0.0397,-0.0953,-0.0440,
1.001744,-0.1864,0.8800,0.4549,0.0031,-0.0226,0.0153,
1.101840,-0.1659,0.8700,0.4617,-0.0293,-0.0226,-0.0086,
1.201825,-0.1776,0.8736,0.4688,-0.0318,-0.0257,-0.0079,
1.302550,-0.1715,0.8697,0.4637,-0.0458,-0.0757,0.0079,
1.403930,-0.1671,0.8668,0.4764,-0.1326,-0.1533,-0.0079,
1.504685,-0.1691,0.8617,0.5104,-0.0727,-0.0892,-0.0086,
1.607481,-0.1664,0.8641,0.4984,-0.0104,-0.0263,0.0079,
1.707069,-0.1593,0.8548,0.5001,-0.0018,-0.0593,0.0293,
1.807771,-0.1537,0.8531,0.5038,-0.0092,-0.0110,0.0049,
1.908422,-0.1524,0.8556,0.4999,0.0159,-0.0116,0.0171,
2.009315,-0.1603,0.8580,0.5035,-0.0079,-0.0153,0.0079,
2.110003,-0.1573,0.8592,0.5045,0.0086,-0.0440,0.0067,
2.210814,-0.1485,0.8531,0.4952,-0.0446,-0.0440,0.0067,
2.310825,-0.1439,0.8541,0.5165,-0.0483,0.0220,-0.0098,
2.410140,-0.1722,0.8543,0.5113,-0.0654,0.0250,-0.0244,
2.510501,-0.1434,0.8482,0.5348,0.0623,0.0024,0.0165,
